video_id,author,comment_text,like_count,published_at
C7rKFo50PK8,@AnaLuiza-z8j3y,Miguer meiga😂😂😂😂😂,0,2025-07-15T00:02:35Z
C7rKFo50PK8,@ThainaraLourenco-kj1ky,❤😮😊🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😢😢😢😢😢😢😮😮😮😮😅😅😊😊😊😊😊❤❤❤❤❤,1,2025-07-10T13:49:25Z
C7rKFo50PK8,@F2D26-VALENTINAHSIACHU,Isso não é bobbie goods,1,2025-07-08T18:05:37Z
C7rKFo50PK8,@F2D26-VALENTINAHSIACHU,Isso não é bobbie goods,1,2025-07-08T18:05:29Z
C7rKFo50PK8,@HelloáDaSilva-j2x,"<a href=""https://www.youtube.com/watch?v=C7rKFo50PK8&amp;t=769"">12:49</a> {.,.}<br>           / (.  )\<br>             /. \<br>              &lt;.I &gt;",1,2025-07-07T01:37:58Z
C7rKFo50PK8,@AlanFernandes-r8c,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1,2025-07-06T20:21:39Z
C7rKFo50PK8,@AlanFernandes-r8c,Aninha eu queria tanto ir para o seu show,1,2025-07-06T20:20:29Z
C7rKFo50PK8,@kilmaraaraujo6538,Aninha ganhou,2,2025-07-06T17:09:17Z
C7rKFo50PK8,@kilmaraaraujo6538,Meu Deus,2,2025-07-06T17:07:11Z
C7rKFo50PK8,@kilmaraaraujo6538,Top,1,2025-07-06T17:01:56Z
C7rKFo50PK8,@meryalves6773,Bobi guds,1,2025-07-04T12:07:23Z
C7rKFo50PK8,@BenjaAlves-un5sl,"Mighty? <a href=""https://www.youtube.com/watch?v=C7rKFo50PK8&amp;t=578"">9:38</a>",1,2025-07-04T03:26:41Z
C7rKFo50PK8,@BeneditaAndrade-b8d,Aninha  você  sabia   que eu  tenho 4 bobbie Goods,1,2025-07-02T11:34:00Z
C7rKFo50PK8,@MaryleneSilva-m6x6v,😊😊😊😊😊😊😊😂😂😂😂😂😂❤❤❤❤❤❤❤❤❤❤❤❤❤,1,2025-07-01T00:18:30Z
C7rKFo50PK8,@KeilaRegina-f5q,Na primeira quem era pra ganhar era aninha   não    clara 👎,1,2025-06-29T21:44:06Z
C7rKFo50PK8,@TiagoDeJesus-p3i,Não valeu o Biel deu o ponto pra Clarissa,1,2025-06-27T10:42:47Z
C7rKFo50PK8,@Jurandir-c8q9d,Muitos dias os caras que você demite ele de ser seu amigo eu não quero ele mais essas vítimas tá se você parar de fazer vídeo com ele eu volto a te seguir porque senão eu paro de seguir eu te segui todos os seus vídeos você é muito injusto você ganhou ela ganhou e ponto o ponto não foi pra cá pra a menina Del que eu esqueci o nome ah cara vou chamar de clara ent,1,2025-06-25T18:27:22Z
C7rKFo50PK8,@chamafelix,Você sabe que fala mau de deus e deixa mente podre,1,2025-06-25T00:51:14Z
C7rKFo50PK8,@RetoxJesucristo-i2w,Oi anninha<br> <br>😢,1,2025-06-24T22:40:00Z
C7rKFo50PK8,@madyleitte8008,Esse moço tá muito errado porque a menina que foi do trabalho do personagem do baby shark o vovô e era para ser um paralelo e alugou um homem não pode eu achei que um dia podia ganhar 😒,1,2025-06-24T00:45:36Z
C7rKFo50PK8,@ElianeSobreira-i4g,Não valeu Au au au uou,1,2025-06-24T00:15:25Z
C7rKFo50PK8,@sarahsoares4379,😱😱,1,2025-06-24T00:05:01Z
C7rKFo50PK8,@astrokeoff,Amei aninha❤,1,2025-06-23T15:08:02Z
C7rKFo50PK8,@marlizetrindadedarosa7817,Tá estranho o detector de metal😂❤,1,2025-06-23T02:26:09Z
C7rKFo50PK8,@LorenaOliveira-d1d,Não é uma fofu ela bombou chegouNão é uma fofu ela é uma bobo😅,1,2025-06-22T22:16:45Z
C7rKFo50PK8,@ArthurPrenholato,Que lindo,1,2025-06-22T17:54:33Z
C7rKFo50PK8,@babycrish8672,Oxi cê endoidou? O Bobbie goods O_O,1,2025-06-22T14:44:53Z
C7rKFo50PK8,@BárbaraTieliCruzdaSilva,X.,1,2025-06-22T04:08:43Z
C7rKFo50PK8,@arthuruan_game,O tubarão do começo do vídeo que era passar outra outra não tem nenhum tênis da Nike e ainda usa óculos e tem um bigode,1,2025-06-22T02:18:09Z
C7rKFo50PK8,@AllanaCristtyna,Foi indo embora eu te amo e,1,2025-06-21T22:11:56Z
C7rKFo50PK8,@RyanAntônio-g4l,A aninha  falando 👄 lafufu 😂😂😂,1,2025-06-21T21:37:59Z
C7rKFo50PK8,@robertoguerra5502,Kkkkkkkkkkkkk chato não gostei faz vídeo melhor,0,2025-06-21T21:33:39Z
C7rKFo50PK8,@robertoguerra5502,Se for Barbie quanto do cavaleir,1,2025-06-21T21:32:40Z
C7rKFo50PK8,@JulianaFerreira-qr6ox,❤❤,1,2025-06-21T20:54:44Z
C7rKFo50PK8,@SineiaDias-hf7ps,Que legal o Bob goods  de   brain  roots😊🎉❤,2,2025-06-21T18:51:35Z
C7rKFo50PK8,@saulocosta9148,Keze❤🎉,1,2025-06-21T16:48:04Z
C7rKFo50PK8,@alinessoares14,Eu tenho um bobbie  goods,1,2025-06-21T13:39:59Z
C7rKFo50PK8,@andersonfranca9804,Oi❤Arthur 😊,1,2025-06-21T01:17:48Z
C7rKFo50PK8,@SophiaRibeiro-u2u,Isso não valeu não era para elas fazer? Por quê a outra comprou,1,2025-06-20T22:11:31Z
C7rKFo50PK8,@fabiorios1975,🎉🎉❤❤❤❤,1,2025-06-20T18:35:14Z
C7rKFo50PK8,@DilmaDantas-x6g,❤❤omi hagenteisotaehdo,1,2025-06-20T13:18:04Z
C7rKFo50PK8,@EmillyDelima-b2z,que legal  anninha❤💖,11,2025-06-20T12:51:13Z
C7rKFo50PK8,@FREHYJGHMJM,"“A extração de órgãos de praticantes é inaceitável e desumana.”<br>Jana Lemmertz, da França, disse sobre a extração forçada de órgãos: &quot;Isso é uma violação dos direitos humanos. É inaceitável e desumano&quot;. Após assinar a petição contra a extração forçada de órgãos, ela também quis fazer uma doação. Mas os praticantes recusaram educadamente e explicaram que os praticantes do Falun Gong não aceitam dinheiro.<br><br><br><br>Luciana Isaias disse que a extração de órgãos de praticantes do Falun Gong é inaceitável e desumana<br><br>Luciana Isaias, do Brasil, disse ao assinar a petição: “É natural se opor à perseguição. Cada um tem sua crença, e toda crença deve ser respeitada.”<br><br>Mulher tibetana agradece aos praticantes<br>Lama Yoga, de Kaiserslautern, veio ao estande com seus dois filhos. Ela explicou que é do Tibete e ouviu dizer que tibetanos também sofrem com a extração forçada de órgãos. Por exemplo, algumas mulheres com dores de estômago foram submetidas a cirurgias, mas muitas vezes morreram de infecções. Mais tarde, descobriu-se que um dos rins delas estava faltando. Essas cirurgias foram realizadas por médicos chineses. Ela e seus dois filhos assinaram a petição. Ela agradeceu sinceramente aos praticantes por seus esforços em conscientizar sobre a brutalidade do Partido Comunista Chinês.<br><br><br><br> Lama Yoga agradeceu sinceramente aos praticantes por seus esforços persistentes em aumentar a conscientização<br><br>Torben Becker, assistente social em Saarbrücken, disse que já assinou a petição.<br><br>Ele explicou: “Assino porque acredito que o Falun Gong faz parte da cultura chinesa. Mas a verdade é que os direitos humanos estão sendo violados lá, e os praticantes do Falun Gong estão sofrendo perseguição cruel. Devemos prestar atenção a isso. Ficar em silêncio sobre a perseguição é inaceitável. A cultura chinesa tem uma história de milhares de anos, mas, infelizmente, desde a fundação do regime comunista chinês, o povo tem sido severamente oprimido”.<br><br>Duas jovens ouviram atentamente os praticantes explicarem o que é o Falun Gong e sobre a perseguição na China. Ao saírem, levaram materiais informativos. Um jovem também aprendeu sobre o Falun Gong e disse apoiar os esforços contra a perseguição. Os três assinaram a petição.<br><br><br><br>Huda Upp e Mina Ajili apoiam o fim da extração forçada de órgãos<br><br><br><br>Samuel Metz assinou a petição e disse que apoia os esforços dos praticantes para expor a perseguição<br><br>Enquanto uma passeata pacífica envolvendo vários grupos passava pelo estande de informações, algumas pessoas se interessaram pelo Falun Dafa e aceitaram panfletos.<br><br><br><br>Os praticantes distribuem panfletos<br><br>O evento dos praticantes na Páscoa ajudou mais pessoas a aprenderem sobre a perseguição do Partido Comunista Chinês. Muitos transeuntes demonstraram simpatia e interesse pelo Falun Dafa e assinaram a petição para proteger os direitos humanos. Os praticantes continuarão a apresentar o Falun Dafa pacificamente e a convocar mais pessoas para ajudar a acabar com a perseguição.",1,2025-06-20T03:55:34Z
C7rKFo50PK8,@geovanasantos3364,Faltou o do Naruto eu. Tenho,2,2025-06-20T03:45:26Z
C7rKFo50PK8,@ArthurGabriel-n7o,❤❤❤,2,2025-06-20T00:41:21Z
C7rKFo50PK8,@PapeleciaPersonalizados,😊😊😊😊😊😊🎉🎉🎉🎉❤❤❤❤,1,2025-06-19T21:02:54Z
C7rKFo50PK8,@fernandopuschrodrigues7336,❤❤❤anninha,2,2025-06-19T17:35:26Z
C7rKFo50PK8,@fabiorios1975,🎉🎉🎉❤❤❤,1,2025-06-19T16:57:35Z
C7rKFo50PK8,@fabiorios1975,❤❤🎉🎉🎉,1,2025-06-19T16:16:30Z
C7rKFo50PK8,@MariaQuitéria-n4u8m,Aninha onde arrumou isso,1,2025-06-19T14:00:03Z
C7rKFo50PK8,@JGcaramelo23456,Biel grava com o pain 🎉🎉,3,2025-06-19T13:51:48Z
C7rKFo50PK8,@fabiorios1975,🎉🎉🎉❤❤❤❤,1,2025-06-19T12:40:48Z
C7rKFo50PK8,@andressabrito.heloisa,Tenho 3 Bob goodes,1,2025-06-19T11:47:25Z
C7rKFo50PK8,@xyla-y5e,Really fun watch! Sharing the love back from @JellyPink-j5o 💛,1,2025-06-19T05:09:07Z
