video_id,author,comment_text,like_count,published_at
ExH89R0aWfk,@AlessandraLe-i3t,nao fofu bonito igual so nao fofo la bubu aqui igual fechado porque negocio pezinho sabe,0,2025-07-15T13:39:07Z
ExH89R0aWfk,@kategames10,ei lu nesse video voce ta casa nova,0,2025-07-15T08:03:57Z
ExH89R0aWfk,@paollalippi2640,dizem labubu n bem sonho ter,0,2025-07-15T01:48:47Z
ExH89R0aWfk,@wendersontavaresmendes3732,luluca porque voce nao tira roupinha nesse lafufu coloca labubu original,0,2025-07-14T21:18:18Z
ExH89R0aWfk,@euclidesramos1163,milly nao pode,0,2025-07-14T19:04:11Z
ExH89R0aWfk,@romilsonsantos6250,luluca cuidado demonio nome demonio pazuzu cuidado vc ta colocando demonio dentro casa so pesquisar labubu demonio,0,2025-07-14T16:01:05Z
ExH89R0aWfk,@estermonteirooficial,luluca amo ceus videos assisto deide crianca,0,2025-07-14T15:05:12Z
ExH89R0aWfk,@CosfaBezerra,luca la bubu ritual bruxaria,0,2025-07-14T13:01:31Z
ExH89R0aWfk,@andressadembicki1962,oi vovo anna super fa,0,2025-07-14T12:12:49Z
ExH89R0aWfk,@Pnc-p,hrefhttpswwwyoutubecomwatchvexhrawfkampta voce roubou nao vale ligar,0,2025-07-14T01:58:56Z
ExH89R0aWfk,@alinezanettibaldinotti137,parabens lu vc finalmente achou labubu original q vc tanto queria amoooo assisto deis comeco canal,2,2025-07-14T01:18:05Z
ExH89R0aWfk,@AnabeatrizGomes-sr9om,luluca chama aniversario anos favor moro jau,0,2025-07-14T00:32:56Z
ExH89R0aWfk,@FranciscoMartins-f4z,oxd,0,2025-07-13T23:02:26Z
ExH89R0aWfk,@Luana-uc3vw,interessante q ninguem tava atras lu tava rua,0,2025-07-13T21:51:43Z
ExH89R0aWfk,@desenhoserradines,tribufu,0,2025-07-13T20:35:56Z
ExH89R0aWfk,@palomamelo8649,la bubu veio raro raro,0,2025-07-13T19:53:12Z
ExH89R0aWfk,@silvionascimento700rege,luluca fazer casinha bob good,0,2025-07-13T19:10:47Z
ExH89R0aWfk,@greiceribeiro9792,luluca voce sendo vijeada,0,2025-07-13T19:07:24Z
ExH89R0aWfk,@ritadecassiasilvaferreira2440,labubu,0,2025-07-13T18:31:02Z
ExH89R0aWfk,@Mauricio17ass,oi luluca,0,2025-07-13T18:12:38Z
ExH89R0aWfk,@jovanicouto,luassisto voce desde criou canall,1,2025-07-13T17:12:12Z
ExH89R0aWfk,@guischroeder1325,oi lu parabens milhoes vc linda merece todo amor mundo,1,2025-07-13T14:47:33Z
ExH89R0aWfk,@EdinaBitencourt-h2c,oi maysa miria sao soa fa,0,2025-07-13T03:22:10Z
ExH89R0aWfk,@imaginaçõesderafa,lu queria ir luluca responde so nn vou poder ir,0,2025-07-13T02:04:22Z
ExH89R0aWfk,@flaviamachado4842,luluca queria tanto conhecer,0,2025-07-13T00:33:00Z
ExH89R0aWfk,@flaviamachado4842,ai lindo labubu,0,2025-07-13T00:30:25Z
ExH89R0aWfk,@flaviamachado4842,amo luluca adoro videos,0,2025-07-13T00:27:58Z
ExH89R0aWfk,@danmantovaneli,luluca voce linda fa queria conhecer,0,2025-07-12T23:50:13Z
ExH89R0aWfk,@SilviaHegedus,amo,0,2025-07-12T17:13:19Z
ExH89R0aWfk,@laercioalves4767,lafufu,0,2025-07-12T14:48:33Z
ExH89R0aWfk,@EloahVasques-l8j,veio plastico quarteirais ai dei apertei cabeca ai cantou,0,2025-07-12T14:21:31Z
ExH89R0aWfk,@EloahVasques-l8j,luluca labubu preto roxo roxo canta canta musica labubu,0,2025-07-12T14:20:17Z
ExH89R0aWfk,@Rosimeiredejesusoli,pazuzu rei demonios,0,2025-07-12T12:00:19Z
ExH89R0aWfk,@Rosimeiredejesusoli,luluca nao labubu razuzu,0,2025-07-12T11:59:03Z
ExH89R0aWfk,@AlineOliveira-hp7fl,siqueira campos moro aqui,0,2025-07-12T04:47:37Z
ExH89R0aWfk,@AnaCecíliaAlmeidaCecília,cachorro tambem fica assim ver lar fofo nunca dou morder garrafa ainda bem,0,2025-07-11T20:03:08Z
ExH89R0aWfk,@FernandaMartins-k2c,bjjss luu fa,1,2025-07-11T19:55:19Z
ExH89R0aWfk,@FabiMessias-d1i,fa bonita,1,2025-07-11T19:35:13Z
ExH89R0aWfk,@FabiMessias-d1i,nao sei quero dar favor,0,2025-07-11T19:34:42Z
ExH89R0aWfk,@NataliaAraújo-f3l,marrom original,0,2025-07-11T19:34:19Z
ExH89R0aWfk,@MariaMadalenaSilvaRamos,amo linda,1,2025-07-11T18:25:24Z
ExH89R0aWfk,@MariaMadalenaSilvaRamos,oiiii luluca tudo bem,1,2025-07-11T18:22:23Z
ExH89R0aWfk,@gtbarcelos,labubu luluca,0,2025-07-11T16:48:17Z
ExH89R0aWfk,@gtbarcelos,labubu,0,2025-07-11T16:47:32Z
ExH89R0aWfk,@sebastiaorodrigues2584,labubu,0,2025-07-11T16:44:25Z
ExH89R0aWfk,@sebastiaorodrigues2584,,0,2025-07-11T16:43:28Z
ExH89R0aWfk,@LuizaJoya,nome luiza joya fa,0,2025-07-11T16:14:26Z
ExH89R0aWfk,@LuizaJoya,fa,2,2025-07-11T16:09:37Z
ExH89R0aWfk,@LuizaJoya,luluca,1,2025-07-11T16:06:46Z
