video_id,author,comment_text,like_count,published_at
V3ofduTWkAQ,@laradasilva9828,hrefhttpwwwyoutubecomresultssearchquerycasalcasala julherme,1,2025-07-15T18:03:23Z
V3ofduTWkAQ,@valdenicemaria2020,fanaticos tudo comentando veyrramoooo,0,2025-07-15T13:56:31Z
V3ofduTWkAQ,@GabrielBarbosa-z9k,paz youtube favor,0,2025-07-15T06:15:05Z
V3ofduTWkAQ,@GuilhermeCauã-c7m,casal lindo ta,0,2025-07-15T02:23:48Z
V3ofduTWkAQ,@EmanuelGamer-f1d,beijo lingua nao coloca mae meio,0,2025-07-15T01:43:21Z
V3ofduTWkAQ,@AnaBeatrizCardosoMendes,jugui,0,2025-07-14T20:23:43Z
V3ofduTWkAQ,@MUMULILO24,,0,2025-07-14T19:01:38Z
V3ofduTWkAQ,@AlineMendes-o7w,deus to surtando,0,2025-07-14T18:30:08Z
V3ofduTWkAQ,@RenataSilveirajacoby,primeiro video mostrou ja olhei vezes,0,2025-07-14T18:14:36Z
V3ofduTWkAQ,@sabrina-s6p,producao ficando vela enquanto ver edit kkkk,0,2025-07-14T16:42:59Z
V3ofduTWkAQ,@ANARaquel-j6z,oi ju,0,2025-07-14T14:34:16Z
V3ofduTWkAQ,@gerfesonoliveira8440,amei casalbr,0,2025-07-14T13:49:25Z
V3ofduTWkAQ,@gerfesonoliveira8440,to surtandooooo,0,2025-07-14T13:47:54Z
V3ofduTWkAQ,@camilagpadovan,celinhoooooooooooooooo,0,2025-07-14T02:31:41Z
V3ofduTWkAQ,@NathaliaQuirino-q8u,voces combinam casal lindo,0,2025-07-14T01:32:46Z
V3ofduTWkAQ,@JeffersonChaves-kw3li,lindo amor,0,2025-07-14T00:51:21Z
V3ofduTWkAQ,@SofiqCapivaragamerSouzaBusson,aviso broi todos vim espalha evangelho deus sei q falhamos sempre perdoe todos pecados abencoe abencoe todos q estao lendo amem irmaosas,0,2025-07-14T00:49:11Z
V3ofduTWkAQ,@leandraym7,to passando,0,2025-07-14T00:46:33Z
V3ofduTWkAQ,@leandraym7,to passando,0,2025-07-14T00:46:02Z
V3ofduTWkAQ,@ClarisseRondini,quero ver bvl agrr,0,2025-07-14T00:12:02Z
