video_id,author,comment_text,like_count,published_at,categorias,classificacao
V3ofduTWkAQ,@MelissaVitoria-u6r,voces tor namorando juliana balta deus menina ta louca i guilherme i frente luiz vi ceu videos tik tok,0,2025-07-11T03:10:09Z,['machismo'],toxic
V3ofduTWkAQ,@EllenSaldanha-t5y,gente to louca pra ver gui pedindo ju namoro jugui julerme,0,2025-07-09T03:35:18Z,['machismo'],toxic
V3ofduTWkAQ,@geovannacarolina211,to emocionada casallll deram primeiros beijos,0,2025-07-05T21:32:31Z,['machismo'],not_toxic
V3ofduTWkAQ,@LarissaBarreto-kq6lb,ju seita,0,2025-07-04T00:25:15Z,['intolerância religiosa'],not_toxic
V3ofduTWkAQ,@irianysantos4867,fiquei emocionada,0,2025-07-03T22:31:39Z,['machismo'],not_toxic
vHM0WDOSmkI,@cleonicegomesduartecleo,louca hospicio,0,2025-07-01T18:33:52Z,['machismo'],not_toxic
vHM0WDOSmkI,@ThiffanyVieira-v4g,hemilly louca mds zkskskskksks,1,2025-06-26T21:58:12Z,['machismo'],toxic
H_KwXFbndgU,@alqueiasambu5827,juliana burra gosta gui breno vem juliana amiga,0,2025-06-21T10:09:14Z,['capacitismo'],not_toxic
OOmlwPK2bUk,@CandidoAugustocarvalho,juro chocada velho hora beijo deu grito kkkkkkkkkkk amo casal juro,1,2025-06-12T14:45:16Z,['etarismo'],toxic
OOmlwPK2bUk,@CandidoAugustocarvalho,juro chocada velho hora beijo deu grito kkkkkkkkkkk amo casal juro,1,2025-06-12T14:45:02Z,['etarismo'],toxic
OOmlwPK2bUk,@RitchelleSantos-l8n,chocada louca beijaram guilherme juliana,4,2025-06-11T01:18:53Z,['machismo'],not_toxic
OOmlwPK2bUk,@DaisySilva-he8hz,fiquei chocada guilherme burro,0,2025-06-11T01:03:18Z,['capacitismo'],not_toxic
iTuEnASvx1o,@LuziaDantas-o6l,fala direito amor omg,0,2025-05-10T15:26:38Z,['xenofobia'],toxic
iTuEnASvx1o,@MateusNa_oficial,hrefhttpswwwyoutubecomwatchvituenasvxoampta ouvi fala direito mo aaaaaaaaaaaaaaa,1,2025-05-08T01:56:58Z,['xenofobia'],toxic
unFwZV1Loos,@aliciaribeiro3772,burra,0,2025-05-04T23:39:49Z,['capacitismo'],not_toxic
unFwZV1Loos,@SamuelGomes-q9l,deus ju vc louca empurrou garoto,2,2025-04-21T16:44:01Z,['machismo'],toxic
unFwZV1Loos,@AdéliadossantosDossantossouza,juliana ta louca derubar menino,0,2025-04-21T13:01:19Z,['machismo'],not_toxic
EneeuNlIvws,@AliciaLira-n6c,pode medica louca,0,2025-06-06T02:05:08Z,['machismo'],not_toxic
uEwQbHUO5AM,@eunoJapão2,mae fresca,0,2025-02-22T05:16:01Z,['machismo'],not_toxic
uEwQbHUO5AM,@Bombardeiro-p2j,hrefhttpswwwyoutubecomwatchvuewqbhuoamampta ta pegadora ju brbrbrbrbrbrbrto brincando,1,2025-02-21T23:16:57Z,['machismo'],toxic
uEwQbHUO5AM,@eu_alicinha135,primeiros curtir sao fas vdd juu brbrnn mendiga like,42,2025-02-21T20:30:14Z,['classismo'],toxic
G8--9KTjcvM,@ludinunes6696,voce nao nocao velho voces dois cavalo lindo tao lindo vem nao nocao velho bonito,0,2025-02-15T16:37:06Z,['etarismo'],toxic
G8--9KTjcvM,@Isinha.11,gente ja caso so n assumem net pq mtt olho gordo,0,2025-02-15T11:01:05Z,['gordofobia'],toxic
ExH89R0aWfk,@pepegame2480,nome cachorra lulica,0,2025-07-05T21:27:23Z,['machismo'],not_toxic
ExH89R0aWfk,@ValdeirTarginodossantos-om1st,to louca nunca comeca,0,2025-07-04T21:23:11Z,['machismo'],not_toxic
qsUqWfB-ydI,@ArmandoMoralesiasi,pedaco pano velho,1,2025-07-04T17:56:56Z,['etarismo'],toxic
qsUqWfB-ydI,@canaldajujuba78,lu entendosou irma velha duas,0,2025-07-03T11:49:22Z,['etarismo'],toxic
qsUqWfB-ydI,@BeatrizMonteiro-mi1wx,luu louca lancar luluca by melu,0,2025-07-03T00:41:17Z,['machismo'],not_toxic
qsUqWfB-ydI,@ManuelaAlvesdasilva-q3z,deaus lulu virando louca ate vc cuidado pra ninguem chutar,0,2025-07-02T23:57:44Z,['machismo'],toxic
qsUqWfB-ydI,@wilmadias2278,luluca voce falou pai felipe negro voce conhece voce falou porque vi aqui,0,2025-07-02T22:43:41Z,['racismo'],toxic
qsUqWfB-ydI,@luizacintra530,ai filha vc tao linda ta todo mundo olhand louca trazer buneca kkkkkkkk,3,2025-07-02T22:37:07Z,['machismo'],toxic
qsUqWfB-ydI,@MariaEduarda-cs6fc,luluca pai chogando pobre lara chao kkk,1,2025-07-02T22:26:38Z,['classismo'],not_toxic
qsUqWfB-ydI,@correia.tell20,vai tratar louca,1,2025-07-02T21:56:40Z,['machismo'],not_toxic
aUGseCX7I6k,@LauraLopesDemelo,cachorra pra mae lulu quotnum meche meia naoquot kkkkkkkk,0,2025-07-07T18:55:21Z,['machismo'],toxic
aUGseCX7I6k,@everaldodejesussantos479,ja deixei like ja quei canal ja comeco nao ha assim cominho ta bonito estranho lucas velha muita,0,2025-07-06T22:32:53Z,['etarismo'],toxic
aUGseCX7I6k,@julianamariabalabem5259,luluca sonho dar orgulho sinto voce gosto voce lucas todo dia vejo voce fazer videos divertidos mochila bonita ta adoro amo louca luca voce perguntar nome madalena ta,0,2025-07-04T00:18:31Z,['machismo'],toxic
aUGseCX7I6k,@WagnerPorto-p9k,compra ai menina louca,0,2025-06-26T04:28:19Z,['machismo'],not_toxic
vQrCdIDdeuk,@Arts25089,lara calva,0,2025-07-14T03:01:21Z,['etarismo'],not_toxic
vQrCdIDdeuk,@Sophiekalyne,assim seis anos ja velha seis,0,2025-07-04T19:58:03Z,['etarismo'],toxic
vQrCdIDdeuk,@elizabetholiveira9379,dandarah nome preto velho pai cubr bisa volta,0,2025-06-10T12:14:32Z,['etarismo'],not_toxic
vQrCdIDdeuk,@christinacarvalho6017,nao acredito luluca ta louca virou dessas agora nao,0,2025-06-08T15:11:17Z,['machismo'],toxic
vQrCdIDdeuk,@Mari-08anos,imaginando lu mae pobre comida deixa tirar comida aqui dentro hrefhttpswwwyoutubecomwatchvvqrcdiddeukampta,0,2025-06-06T14:48:15Z,['classismo'],toxic
vQrCdIDdeuk,@AlanaTube-f4c,hrefhttpswwwyoutubecomwatchvvqrcdiddeukampta tia gemeos velho entao trigemeos especificamente gemeos ainda n nasceu,0,2025-06-03T23:54:48Z,['etarismo'],not_toxic
vQrCdIDdeuk,@kettycaroline9120,loko boneca calva,0,2025-06-03T23:50:03Z,['etarismo'],not_toxic
vQrCdIDdeuk,@claudiaprado1685,calva,0,2025-06-03T00:03:46Z,['etarismo'],not_toxic
JtAi4Sj8jCA,@julielmadaconceicaogoncalv5035,louca fa gosto videos bonita,0,2025-06-23T00:03:02Z,['machismo'],toxic
JtAi4Sj8jCA,@AnabellyBusnello,louca etc alien,0,2025-05-31T18:26:48Z,['machismo'],not_toxic
JtAi4Sj8jCA,@odettepassos,louca voce fazer outros videos sustos mae quer clique aqui,0,2025-05-13T12:09:45Z,['machismo'],toxic
JtAi4Sj8jCA,@LilianSantos-k4u,louca youtube rezende beijar,0,2025-05-10T14:14:14Z,['machismo'],not_toxic
JtAi4Sj8jCA,@boopbethy,kaka macaquinho stitch fofooo luh hahahha,0,2025-05-09T22:18:46Z,['racismo'],toxic
qUXljiTyJbg,@cicerasantos1306,lelele hahaha voce falar nao nao nao nao nao nao nao falou nao falou nao mae lucas lucas mae vai falar voce luluca ta louca,0,2025-05-09T17:18:46Z,['machismo'],toxic
qUXljiTyJbg,@lidianasoares5509,vai logoo vou fica louca to ansiosa,1,2025-04-23T21:25:24Z,['machismo'],toxic
ybkfssrjHUk,@LuanaBeatriz-l3d,ketlin to louca,0,2025-05-09T17:48:48Z,['machismo'],not_toxic
ybkfssrjHUk,@PerollaCosta-o5d,nome perola louca musica popo voce toca pessoa,1,2025-05-03T03:07:31Z,['machismo'],toxic
ybkfssrjHUk,@Gacha_gaby,lu espaco velho kkkkkk ta amo luluuuu youtuber favorita,0,2025-04-28T21:42:46Z,['etarismo'],toxic
ybkfssrjHUk,@debora_otoni,vc crente vem pra vila velha,0,2025-04-19T02:45:34Z,['etarismo'],not_toxic
ybkfssrjHUk,@Dudacat_mendesSV,luluu vem pra vila velha favor sonho conhecer ver vem pfvr,0,2025-04-15T18:22:47Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho favor,2,2025-04-14T22:35:46Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho rondonia porto velho favooooooorrrrrrr,0,2025-04-14T22:07:48Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho favor,0,2025-04-14T22:05:25Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho favor,2,2025-04-14T22:04:58Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho favor,0,2025-04-14T22:04:40Z,['etarismo'],toxic
ybkfssrjHUk,@RoberwilsonMarques,lu faz luluca responde rondonia porto velho favor,0,2025-04-14T22:04:22Z,['etarismo'],toxic
nuyGsYRoCTI,@JuliaScolari-u6p,linda sena fica emocionada,0,2025-05-05T11:09:27Z,['machismo'],not_toxic
nuyGsYRoCTI,@mariaDoCarmo-wf4cc,sei velha vendo videos bom,0,2025-04-22T18:25:38Z,['etarismo'],not_toxic
nuyGsYRoCTI,@LilliamTerto-e2q5s,louca fa nota favor,0,2025-04-16T04:04:44Z,['machismo'],toxic
nuyGsYRoCTI,@gibisdasaratimboibabarcell2301,luluca vem vila velha cidade espirito santo,1,2025-04-07T21:13:41Z,['etarismo'],not_toxic
nuyGsYRoCTI,@annapaula1870,google voce arrasou parabens professora anos muita saude sei voce menina sabe fazer coisas sabe gravar pessoa carinhosa voce deveria ter festa anos assim porque voce menina estudiosa ensina coisas gente entao voce merece louca beijo tchau,0,2025-04-03T12:13:34Z,['machismo'],toxic
nuyGsYRoCTI,@Family_Castellani,parabens lulu cresci voce acompanho uns anos desde rico vs pobre,1,2025-04-02T01:11:25Z,['classismo'],toxic
nuyGsYRoCTI,@skymanaus671,nao fim apenas recomeco nao brfiquei emocionada porque parei pra pensar via bem pequenininha agora voce cresceu,0,2025-04-01T22:15:20Z,['machismo'],toxic
nuyGsYRoCTI,@cleidemariaoliveira2356,vouta mae louca,0,2025-04-01T15:22:45Z,['machismo'],not_toxic
nuyGsYRoCTI,@Bellaeasgemeas,fiquei emocionada,0,2025-04-01T15:00:24Z,['machismo'],not_toxic
nuyGsYRoCTI,@MaysaGonçalvesdosSantos,to emocionada to quase chorando ta tao lindo to emocionada parabens luluca ta linda festa aniversario lu amo achou aniversario luluca bonito deixe link gostei festa,0,2025-04-01T01:34:28Z,['machismo'],toxic
nuyGsYRoCTI,@yasmimgermano7387,feliz aniversario sei voce nao vai ler assisto desde queria ter conhecido antes assim bastante tempo conheco sao anos voce acompanhando aniversario adoro videos amo vc ano velha acabei fazer anos nao fiz festa beijo amo,0,2025-03-31T22:58:51Z,['etarismo'],toxic
nuyGsYRoCTI,@AnaClaudiaAlves-zw9ze,parabens louca muitos anos vida,0,2025-03-31T22:33:33Z,['machismo'],toxic
nuyGsYRoCTI,@leleh-y4y,lu chorando fiquei emocionada,0,2025-03-31T22:09:52Z,['machismo'],toxic
nuyGsYRoCTI,@MauricioNascimentodasilva-t8i,sei nao posso falar so escrevo palavras gratidao voce traz dia filhos adoro assistir video voce alegra triste assista direitos ta triste quero dar parabens fazer rodinha alegre muitos pessoas nao sao claro muitas criancas adolescentes criancas assiste videos fica honrado assistir alegra tudo voce menina bonita louca nunca deixe abalar festa ta maravilhosa feliz anos,0,2025-03-31T21:42:35Z,['machismo'],toxic
nuyGsYRoCTI,@EhNoix4Bonde_Onçinhas,parabens lu fez metade infancia amo vcs continua crescendo sendo panda linda animada semprevc anos velha q assisto des pequena sdds daquela epoca parabens,0,2025-03-31T21:36:26Z,['etarismo'],toxic
nuyGsYRoCTI,@ElenaFerreira-b2t,lindo amei demais fiquei ate emocionada brte amo lu deus continue abencoando,0,2025-03-31T21:30:46Z,['machismo'],toxic
aKeXWNg2J64,@perlavital2605,tambem medo lucas sim cachorra festa tambem,1,2025-04-13T13:58:44Z,['machismo'],not_toxic
aKeXWNg2J64,@ecokamba1439,jogo velha estados unidos reparei assim preco controle musica nome verdade cor favorita vi nome ta luiza luluca deixa perguntar nome luiza,0,2025-04-10T10:03:21Z,['etarismo'],toxic
aKeXWNg2J64,@CytandraDeoliveiraCezar,presentes pobres pra festa,0,2025-04-06T00:24:57Z,['classismo'],not_toxic
aKeXWNg2J64,@DanielaD-d6k,lu irma velha perfume prada paradoxe so nao intenso porque perfume rosa nao laranja,0,2025-04-05T12:02:19Z,['etarismo'],not_toxic
aKeXWNg2J64,@ÁriesPimenta,rico so convida rico ganha muitos presentes pobre so convida pobre nao ganha quase nada caso aqui casa faco aniversario filha nao ganha quase nada so convido pobre igual gente,0,2025-04-03T19:24:01Z,['classismo'],toxic
aKeXWNg2J64,@YasminGonzaga-r7q,tia pobre ja kkk,0,2025-04-03T16:01:48Z,['classismo'],toxic
aKeXWNg2J64,@LUISACURTY,luluca deixou curiosa tava louca pra abrir presente ali atras vi video acaba nao abriu presente queria ver abrindo,0,2025-04-03T11:52:43Z,['machismo'],toxic
aKeXWNg2J64,@isabellarainhadasmakes,louca louca quanta coisa bonita fiquei ate limpeza kkkkkk amo canal ta,0,2025-04-03T02:30:04Z,['machismo'],toxic
aKeXWNg2J64,@brincandocomnicole9920,hrefhttpswwwyoutubecomwatchvakexwngjampta lu vc falou pura verdade fiquei ate emocionada oq vc falou,13,2025-04-02T23:40:54Z,['machismo'],toxic
aKeXWNg2J64,@RoberwilsonMarques,luluca reponde rondonia porto velho favor luluca reponde rondonia porto velho,0,2025-04-02T22:23:10Z,['etarismo'],not_toxic
aKeXWNg2J64,@RoberwilsonMarques,lu faz luluca reponde rondonia porto velho favor,0,2025-04-02T22:20:57Z,['etarismo'],toxic
aKeXWNg2J64,@RoberwilsonMarques,lu faz luluca reponde rondonia porto velho favor,0,2025-04-02T22:18:24Z,['etarismo'],toxic
